CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F996,F997,F998,F999,F1000,F1001,F2384,F323339,
24403,E01005280,Manchester 026A,Lower Super Output Areas and Data Zones,LSOADZ,528,121,176,156,70,5,1919,1559,
24404,E01005281,Manchester 026B,Lower Super Output Areas and Data Zones,LSOADZ,542,209,181,104,40,8,2239,2613,
24405,E01005282,Manchester 032D,Lower Super Output Areas and Data Zones,LSOADZ,550,211,182,113,42,2,1852,1532,
24406,E01005283,Manchester 032E,Lower Super Output Areas and Data Zones,LSOADZ,408,211,142,41,13,1,1481,1133,
24407,E01005284,Manchester 026C,Lower Super Output Areas and Data Zones,LSOADZ,834,325,361,113,29,6,3436,4082,
24408,E01005285,Manchester 025D,Lower Super Output Areas and Data Zones,LSOADZ,476,100,158,129,71,18,1299,1176,
24409,E01005286,Manchester 026D,Lower Super Output Areas and Data Zones,LSOADZ,738,301,278,110,42,7,2170,1951,
24410,E01005287,Manchester 026E,Lower Super Output Areas and Data Zones,LSOADZ,652,122,223,205,95,7,2131,1826,
24411,E01005288,Manchester 025E,Lower Super Output Areas and Data Zones,LSOADZ,640,231,217,134,48,10,1728,2029,
24412,E01005289,Manchester 049D,Lower Super Output Areas and Data Zones,LSOADZ,641,146,192,196,98,9,1450,1126,
24413,E01005290,Manchester 052A,Lower Super Output Areas and Data Zones,LSOADZ,675,145,238,197,87,8,1544,1194,
24414,E01005291,Manchester 050E,Lower Super Output Areas and Data Zones,LSOADZ,714,130,217,268,91,8,1454,3102,
24415,E01005292,Manchester 052B,Lower Super Output Areas and Data Zones,LSOADZ,696,176,227,207,75,11,1479,1119,
24416,E01005293,Manchester 052C,Lower Super Output Areas and Data Zones,LSOADZ,521,230,180,91,19,1,1229,926,
24417,E01005294,Manchester 052D,Lower Super Output Areas and Data Zones,LSOADZ,645,246,224,132,41,2,1496,1055,
24418,E01005295,Manchester 049E,Lower Super Output Areas and Data Zones,LSOADZ,1124,626,306,142,44,6,2459,4265,
24419,E01005296,Manchester 029E,Lower Super Output Areas and Data Zones,LSOADZ,614,308,159,107,34,6,1704,1082,
